0,1,2,3
Symbol,Narrow/Wide Pattern,Visual Pattern,Checksum Value
*,NWNNWNWNN,,
0,NNNWWNWNN,,0
1,WNNWNNNNW,,1
2,NNWWNNNNW,,2
3,WNWWNNNNN,,3
4,NNNWWNNNW,,4
5,WNNWWNNNN,,5
6,NNWWWNNNN,,6
7,NNNWNNWNW,,7
8,WNNWNNWNN,,8
9,NNWWNNWNN,,9
A,WNNNNWNNW,,10
B,NNWNNWNNW,,11
C,WNWNNWNNN,,12
D,NNNNWWNNW,,13
E,WNNNWWNNN,,14
F,NNWNWWNNN,,15
G,NNNNNWWNW,,16
H,WNNNNWWNN,,17
I,NNWNNWWNN,,18
J,NNNNWWWNN,,19
K,WNNNNNNWW,,20
L,NNWNNNNWW,,21
M,WNWNNNNWN,,22
N,NNNNWNNWW,,23
O,WNNNWNNWN,,24
P,NNWNWNNWN,,25
Q,NNNNNNWWW,,26
R,WNNNNNWWN,,27
S,NNWNNNWWN,,28
T,NNNNWNWWN,,29
U,WWNNNNNNW,,30
V,NWWNNNNNW,,31
W,WWWNNNNNN,,32
X,NWNNWNNNW,,33
Y,WWNNWNNNN,,34
Z,NWWNWNNNN,,35
â€“,NWNNNNWNW,,36
.,WWNNNNWNN,,37
SPACE,NWWNNNWNN,,38
$,NWNWNWNNN,,39
/,NWNWNNNWN,,40
+,NWNNNWNWN,,41
%,NNNWNWNWN,,42
